title,content,url,cnt,source,keyword,image,createdAt,priority
유럽 최대 소비자 가전 전시회 IFA에 IoT 플랫폼 ‘LINE Things’ 부스를 마련했습니다,"안녕하세요, Developer Product실의 Jose입니다. 지난 8월 31일부터 9월 5일까지 베를린에서 열린 IFA에 참가한 후기를 전해드리겠습니다. IFA(Internationale Funkausstellung)는 매년 9월 경 베를린에서 개최되는 전시회입니다. 거슬러 올라가 보면 이 전시회는 방송 기술에 대한 국제 전시회로 시작되었다고 합니다. ...",https://engineering.linecorp.com/ko/blog/iot-platform-line-things-booth-europe-ifa/,0,line,android,https://engineering.linecorp.com/wp-content/uploads/2018/10/25/1540439491089.jpg,2018-11-22,0
Atomic 처리와 cache stampede 대책을 위해 Redis Lua script를 활용한 이야기,안녕하세요? LINE에서 게임 플랫폼 개발을 맡고 있는 Kagaya입니다. 신입 사원 1년차였던 2016년에 마이크로 서비스용 프로젝트 생성 도구 Lazybones를 사용해 보니(일본어 글)를 포스팅한 데 이어 한번 더 기고하게 되었습니다. 반갑습니다.LINE GAME Platform은 주 데이터베이스의 하나로 인메모리(in-memory) NoSQL 데이터...,https://engineering.linecorp.com/ko/blog/atomic-cache-stampede-redis-lua-script/,0,line,"javascript,backend,react,database,android,mysql,frontend,torch,mongodb,machinelearning,docker,php,python",,2018-10-31,0
MySQL Workbench의 VISUAL EXPLAIN으로 인덱스 동작 확인하기,안녕하세요. 저는 LINE 포인트 서버쪽 개발을 담당하고 있는 Ohara(@kory1202)입니다.얼마 전 특정 테이블에서 데이터를 추출하는 코드를 작성했는데요. 함께 일하는 동료가 그 코드를 보더니 ‘이런 인덱스가 필요하겠다’고 조언해주었습니다. 이 일을 통해 제가 인덱스 관련 지식이 부족하다는 점을 깨닫게 되었는데요. 그래서 이번에 MySQL Workb...,https://engineering.linecorp.com/ko/blog/mysql-workbench-visual-explain-index/,0,line,"javascript,backend,java,spring,android,database,mysql,sql,docker,php,python",https://engineering.linecorp.com/wp-content/uploads/2018/10/19/1539913066359.png,2018-10-31,0
세계 최대 IT 경진 대회인 ‘Imagine Cup 2018’ 3위를 차지했습니다,안녕하세요? LINE에서 광고 플랫폼을 개발하고 있는 Kunihiko Sato입니다. 저는 2018년 7월 23일부터 25일까지 미국 시애틀에서 열린 Microsoft 주최 IT 경진 대회 ‘Imagine Cup‘에 일본 대표로 참가해 3위에 입상했는데요. 오늘은 그 후기를 전해드릴까 합니다. 참고로 Imagine Cup은 학생들이 참가하는 IT 경진 대회...,https://engineering.linecorp.com/ko/blog/imagine-cup-2018-3rd/,0,line,docker,https://engineering.linecorp.com/wp-content/uploads/2018/8/24/1535092981254.jpg,2018-10-31,0
안전한 SSL/TLS를 운영하기 위해 알아야 하는 것들,안녕하세요. LINE에서 Security Engineering을 담당하고 있는 이지훈입니다. 제가 속한 팀은 업무 환경과 서비스 환경에서 사용되는 인프라를 더욱 안전하게 만들어가는 업무를 담당합니다. 그 일환으로 SSL/TLS 인증서 관리나 관련 가이드를 제공하는 활동도 하고 있습니다. 대규모 환경에서는 보안은 물론 클라이언트와의 호환성이나 서비스 환경도 ...,https://engineering.linecorp.com/ko/blog/best-practices-to-secure-your-ssl-tls/,0,line,"backend,database,mysql,django,docker,php,python",https://engineering.linecorp.com/wp-content/uploads/2018/8/14/1534219555112.png,2018-10-23,0
Behavior Tree를 알아봅시다,"안녕하세요. 저는 Clova를 구성하는 시스템 가운데 NLU(Natural Language Understanding,자연어 이해)파트의 서버쪽 개발을 담당하고 있는 @overlast입니다.얼마전에  Youichiro Miyake(三宅陽一郎)씨와 대담(일본어)을 나눌 기회가 있었는데요. 이야기하다보니 게임 업계에서 캐릭터 AI 등을 만들 때 자주 사용되는 B...",https://engineering.linecorp.com/ko/blog/behavior-tree/,0,line,"bitcoin,javascript,blockchain,react,css,frontend,python",https://engineering.linecorp.com/wp-content/uploads/2018/10/11/1539226741003.png,2018-10-18,0
Go SDK로 Flex Message 구현하기,"안녕하세요? 교토 개발실에서 근무하는 @sugyan입니다. 교토의 여름은 이번에 처음 겪는데, 와 정~말 엄청난 더위네요.2018년 6월, LINE Messaging API에서 사용할 수 있는 새로운 메시지 유형 ‘Flex Message’가 추가되었습니다. 복잡한 레이아웃이 가능해지면서 맞춤형 메시지를 보낼 수 있게 되었지요.공식 SDK에서도 Flex Me...",https://engineering.linecorp.com/ko/blog/flex-message-line-bot-sdk-go/,0,line,"javascript,frontend,vue,css",https://engineering.linecorp.com/wp-content/uploads/2018/9/28/1538115399783.png,2018-10-04,0
테크니컬 라이팅 컨퍼런스: Write the Docs Prague 2018 방문기,"안녕하세요. Clova 기술 문서 작성 및 관리 업무를 맡고 있는 Technical Writing 팀 강정일입니다. 제가 테크니컬 라이팅(Technical writing) 분야에서 일한 지 어느덧 10년 정도 되었습니다. 하지만 이 글을 보고 계신 분들 중 많은 분들이 테크니컬 라이팅이란 단어를 처음 듣거나, 들었어도 정확히 어떤 일을 하는 지는 잘 모르실...",https://engineering.linecorp.com/ko/blog/write-the-docs-prague-2018-recap/,0,line,,https://engineering.linecorp.com/wp-content/uploads/2018/9/28/1538097587760.png,2018-10-04,0
딥 러닝 음성 인식에 필요한 훈련 데이터를 직접 만들어보자,"안녕하세요, LINE에서 광고 플랫폼 개발을 맡고 있는 1년차 신입사원 Kunihiko Sato입니다.이번 블로그에서는 Python을 사용해서 임의의 Signal-to-Noise ratio(SN비)를 가진 음성 파형을 만드는 방법을 소개하겠습니다. 참고로 이 포스팅의 내용은 Clova 등 LINE의 음성 사업과는 관련이 없습니다.오래 전 딥 러닝이 이미지 ...",https://engineering.linecorp.com/ko/blog/voice-waveform-arbitrary-signal-to-noise-ratio-python/,0,line,"matlab,tensorflow,python3,machinelearning,python",https://engineering.linecorp.com/wp-content/uploads/2018/9/13/1536816954754.png,2018-10-01,0
AIR GO를 소개합니다,안녕하세요. LINE에서 AIR GO를 개발하고 있는 김태우입니다. 이번 블로그에서는 AIR GO에 대해 말씀드리겠습니다.AIR GO는 Android와 iOS의 패키지 파일(APK 파일과 IPA 파일)을 스캔하여 취약점을 찾아주는 서비스입니다. 오프소스 툴인 SandDroid를 사용해보신 분이라면 어떤 서비스인지 쉽게 떠올릴 수 있을 것 같습니다. 최근 L...,https://engineering.linecorp.com/ko/blog/introducing-air-go/,0,line,"backend,css,java,android,web,frontend,html,json,php",https://engineering.linecorp.com/wp-content/uploads/2018/9/20/1537439313789.png,2018-09-28,0
